Full Name,Nickname,Height,Weight,Reach,Stance,Date of Birth
Abubakar Nurmagomedov,,"5' 11""",170 lbs.,"72""",Orthodox,"Nov 13, 1989"
Abus Magomedov,,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990"
Abu Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986"
Acacio Dos Santos,Pequeno,"6' 4""",205 lbs.,"79""",Orthodox,"Sep 29, 1991"
Achilles Estremadura,,"5' 10""",155 lbs.,"68""",Orthodox,"Mar 11, 1992"
Achmed Labasanov,,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978"
Adam Yandiev,Boroda,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988"
Adam Antolin,Captain Chaos,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
Adam Cella,El Naturel,"6' 2""",170 lbs.,--,,"Jun 26, 1985"
Adam Fugitt,,"6' 1""",170 lbs.,"77""",Southpaw,"Jan 12, 1989"
Adam Khaliev,,"6' 0""",170 lbs.,--,Orthodox,"Apr 16, 1984"
Adam Lynn,,"5' 10""",155 lbs.,--,Orthodox,--
Adam Meredith,,"6' 2""",170 lbs.,--,,--
Adam Piccolotti,,"5' 11""",155 lbs.,--,,"Oct 23, 1988"
Adam Bramhald,Samurai,"5' 10""",135 lbs.,"70""",Orthodox,"Mar 24, 1994"
Adam Schindler,,"5' 8""",155 lbs.,--,,"May 19, 1983"
Adam Wieczorek,Siwy,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992"
Adam Smith,,--,--,--,,--
Adam Steele,,--,170 lbs.,--,,--
Adam Milstead,The Prototype,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987"
Adam Hunter,Warhammer,"6' 1""",185 lbs.,--,Orthodox,"Oct 16, 1983"
Adin Duenas,,"5' 6""",145 lbs.,--,,"Jul 02, 1988"
Adlan Amagov,Borz,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
Adli Edwards,,--,145 lbs.,--,,"Aug 28, 1989"
Adriano Martins,,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982"
Adriano Santos,,--,--,--,,--
Adrian Diaz,,"5' 10""",145 lbs.,--,Southpaw,"Apr 26, 1988"
Adrian Serrano,,"5' 8""",170 lbs.,--,,"Dec 23, 1963"
Adrian Yanez,,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 29, 1993"
Adrienna Jenkins,AJ,"5' 8""",145 lbs.,--,,"Jul 22, 1981"
Ahmad Hassanzada,Lion of the Ring,"6' 1""",155 lbs.,"75""",Orthodox,"Nov 20, 1996"
Aiemann Zahabi,,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987"
Ailin Perez,Fiona,"5' 5""",135 lbs.,"66""",Switch,"Oct 05, 1994"
Ailiya Muratbek,,--,155 lbs.,--,,--
Aisling Daly,Ais the Bash,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987"
Aji Susilo,,"5' 10""",155 lbs.,--,,--
AJ Dobson,,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992"
AJ Fonseca,,"5' 4""",145 lbs.,--,,--
AJ Siscoe,Let's Go,"5' 7""",135 lbs.,--,,--
AJ Matthews,,"5' 11""",185 lbs.,--,,--
AJ McKee,Mercenary,"5' 10""",145 lbs.,--,,--
AJ Fletcher,The Ghost,"5' 10""",170 lbs.,"67""",Switch,"Feb 18, 1997"
AJ Cunningham,The Savage,"5' 10""",145 lbs.,"71""",Orthodox,"Sep 07, 1994"
Akbarh Arreola,El Caballero,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
Akihiro Gono,,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974"
Akihito Tanaka,Kinniku Mantaro,--,--,--,Southpaw,--
Akira Corassani,,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982"
Akira Kikuchi,,"5' 8""",155 lbs.,--,Orthodox,"Jul 23, 1978"
Akira Shoji,,"5' 8""",195 lbs.,--,Orthodox,"Jan 31, 1974"
Akitoshi Tamura,The Ironman,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
Akiyo Nishiura,Wicky Akiyo,"5' 8""",139 lbs.,--,Southpaw,"Aug 08, 1983"
Alain Van der Merckt,Top Boy,--,185 lbs.,--,,"Jun 11, 1993"
Alan Jouban,Brahma,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981"
Alan Gomez,,--,155 lbs.,--,,--
Alan Patrick,Nuguette,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983"
Alan Omer,,"5' 10""",145 lbs.,--,Orthodox,"Sep 14, 1988"
Alan Baudot,The Black Samourai,"6' 3""",243 lbs.,"79""",Orthodox,"Feb 01, 1988"
Alan Belcher,The Talent,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984"
Alan Hiro,Yamaniha,"5' 5""",135 lbs.,--,Orthodox,"Apr 04, 1986"
Alavutdin Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,"Jun 23, 1982"
Alberta Cerra Leon,,"5' 8""",238 lbs.,--,,--
Alberto Crane,,"5' 5""",155 lbs.,--,Orthodox,"Jul 14, 1976"
Alberto Mina,Soldier of God,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982"
Alberto Montes,The Promise,"5' 7""",135 lbs.,--,,"May 31, 1994"
Alberto Uda,,"6' 3""",185 lbs.,--,Orthodox,"Aug 08, 1984"
Albert Cheng,,"5' 11""",170 lbs.,--,Orthodox,"Feb 07, 1985"
Albert Duraev,,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989"
Albert Tumenov,Einstein,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991"
Albert Rios,,"5' 8""",145 lbs.,--,,--
Albert Morales,The Warrior,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991"
Alejandro Garcia,Alex,"5' 7""",145 lbs.,--,,--
Alejandro Flores,El Gallito,"5' 10""",145 lbs.,"73""",Orthodox,"Aug 06, 1991"
Alejandro Perez,Turbo,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989"
Alejandro Villalobos,,"5' 7""",145 lbs.,--,,"Oct 26, 1979"
Aleksandar Rakic,Rocket,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
Aleksander Emelianenko,,"6' 6""",255 lbs.,--,Orthodox,"Aug 02, 1981"
Aleksandra Albu,Stitch,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
Aleksandre Topuria,El Cazador,--,135 lbs.,--,,"Jan 28, 1996"
Aleksa Camur,,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995"
Aleksei Kunchenko,,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984"
Aleksei Oleinik,The Boa Constrictor,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
Alen Amedovski,,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988"
Alessandro Costa,Nono,"5' 4""",125 lbs.,"67""",Orthodox,"Jan 28, 1996"
Alessio Sakara,Legionarius,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981"
Alessio Di Chirico,Manzo,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989"
Alexander Crispim,,--,145 lbs.,--,,--
Alexander Volkov,Drago,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988"
Alexander Munoz,,"5' 9""",155 lbs.,"72""",Switch,"Feb 27, 1990"
Alexander Poppeck,,"6' 2""",205 lbs.,--,Orthodox,"Apr 06, 1992"
Alexander Yakovlev,Russian Thunder,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984"
Alexander Soldatkin,,"6' 2""",250 lbs.,"75""",Orthodox,"Jun 10, 1993"
Alexander Shlemenko,Storm,"5' 11""",185 lbs.,--,,"May 20, 1984"
Alexander Morgan,The Chess Master,"5' 10""",145 lbs.,"71""",Orthodox,"May 14, 1991"
Alexander Otsuka,The Diet Butcher,"6' 1""",205 lbs.,--,Orthodox,"Jul 17, 1971"
Alexander Hernandez,The Great Ape,"5' 9""",145 lbs.,"72""",Orthodox,"Oct 01, 1992"
Alexander Volkanovski,The Great,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988"
Alexander Gustafsson,The Mauler,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987"
Alexander Sarnavskiy,Tiger,"5' 11""",155 lbs.,--,,"Jan 17, 1989"
Alexander Trevino,,--,170 lbs.,--,,--
Alexandre Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,"Nov 19, 1976"
Alexandre Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979"
Alexandre Dantas,Cafe,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979"
Alexandre Franca Nogueira,Pequeno,"5' 7""",145 lbs.,--,Orthodox,"Jan 15, 1978"
Alexandre Pantoja,The Cannibal,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990"
Alexandru Lungu,,"6' 0""",385 lbs.,--,Orthodox,"Sep 03, 1974"
Alexandr Romanov,King Kong,"6' 2""",262 lbs.,"75""",Southpaw,"Dec 11, 1990"
Alexa Grasso,,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993"
Alexia Thainara,Burguesinha,--,115 lbs.,--,,"Nov 20, 1995"
Alexis Davis,,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 04, 1984"
Alexis Dufresne,Sneaky Zebra,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990"
Alex Chambers,Astro Girl,"5' 3""",115 lbs.,"63""",Southpaw,"Oct 25, 1978"
Alex Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
Alex Oliveira,Cowboy,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988"
Alex Crispin,,--,155 lbs.,--,,--
Alex Dunworth,,"5' 8""",155 lbs.,--,,--
Alex Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974"
Alex Enlund,,"5' 10""",145 lbs.,--,Orthodox,"May 27, 1987"
Alex Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,"Feb 15, 1984"
Alex Gilpin,,"5' 7""",145 lbs.,--,Orthodox,"Mar 26, 1992"
Alex Higley,,"5' 10""",145 lbs.,--,,--
Alex Gorgees,Hitman,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995"
Alex Hunter,,"5' 9""",226 lbs.,--,Orthodox,--
Alex Da Silva,Leko,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996"
Alex Perez,,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992"
Alex Pereira,Poatan,"6' 4""",205 lbs.,"79""",Orthodox,"Jul 07, 1987"
Alex Ricci,,"5' 11""",155 lbs.,--,Orthodox,"Jul 21, 1982"
Alex Torres,Rolo,"5' 10""",145 lbs.,--,Orthodox,"May 29, 1988"
Alex Schoenauer,,"6' 3""",185 lbs.,--,Orthodox,"May 05, 1976"
Alex Karalexis,The Assassin,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977"
Alex Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,--
Alex Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987"
Alex Reyes,The Executioner,"5' 11""",155 lbs.,"73""",Orthodox,"Oct 02, 1986"
Alex Morono,The Great White,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990"
Alex Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980"
Alex Huddleston,The Shaved Gorilla,"6' 7""",254 lbs.,--,,"Aug 11, 1986"
Alex Nicholson,The Spartan,"6' 4""",185 lbs.,"77""",Orthodox,"May 02, 1990"
Alex White,The Spartan,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988"
Alex Zuniga,,--,145 lbs.,--,,--
Alfonso Alcarez,,"5' 3""",145 lbs.,--,,"Jun 10, 1970"
Alfred Khashakyan,The Fearless,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988"
Aliaskhab Khizriev,Black Wolf,"5' 9""",185 lbs.,"74""",Southpaw,"Aug 24, 1990"
Alice Ardelean,,"5' 3""",115 lbs.,"62""",Orthodox,"Apr 19, 1992"
Aliev Makhmud,,"5' 6""",195 lbs.,--,Southpaw,"Feb 13, 1970"
Alistair Overeem,The Demolition Man,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980"
Ali Bagautinov,Puncher,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
Ali AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990"
Aljamain Sterling,Funk Master,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 31, 1989"
Allan Goes,,"6' 0""",205 lbs.,--,Orthodox,"Apr 20, 1971"
Allan Begosso,Mini,"5' 5""",135 lbs.,"66""",Orthodox,"Nov 23, 1995"
Allan Nascimento,Puro Osso,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991"
Allan Zuniga,Tigre,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992"
Allen Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,"Aug 25, 1974"
Allen Crowder,Pretty Boy,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989"
Alonzo Menifield,Atomic,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987"
Alonzo Martinez,Zo Diddy,"5' 10""",155 lbs.,--,,"Apr 22, 1984"
Alptekin Ozkilic,The Turkish Delight,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986"
Alton Cunningham,The Bo-Man,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993"
Alvaro Herrera Mendoza,Chango,"6' 0""",155 lbs.,"74""",Orthodox,"May 14, 1990"
Alvin Cacdac,,"5' 6""",125 lbs.,--,Orthodox,--
Alvin Robinson,,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982"
Al Iaquinta,Raging,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
Al Matavao,Sweetness,"5' 8""",205 lbs.,"67""",Orthodox,"Feb 23, 1994"
Amador Ramirez,,--,135 lbs.,--,,"Jun 14, 1990"
Amanda Cooper,ABC,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991"
Amanda Lemos,,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987"
Amanda Ribas,,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 26, 1993"
Amanda Nunes,The Lioness,"5' 8""",135 lbs.,"69""",Orthodox,"May 30, 1988"
Amar Suloev,,"5' 9""",183 lbs.,--,Orthodox,"Jul 01, 1976"
Amaury Bitetti,,"5' 9""",185 lbs.,--,Orthodox,--
Amber Tackett,,--,115 lbs.,--,,--
Amilcar Alves,,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988"
Amiran Gogoladze,,"6' 1""",170 lbs.,"74""",Switch,"Dec 09, 1997"
Amir Aliakbari,,"6' 3""",250 lbs.,--,,"Jun 10, 1984"
Amir Rahnavardi,,"6' 0""",205 lbs.,--,Orthodox,"Dec 07, 1974"
Amir Sadollah,,"5' 10""",170 lbs.,"75""",Orthodox,"Aug 27, 1980"
Amir Albazi,The Prince,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993"
Anatoly Tokov,,"5' 10""",185 lbs.,--,,"Feb 17, 1990"
Anderson Dos Santos,Berinja,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985"
Anderson Silva,The Spider,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975"
Andreas Gustafsson,Bane,"6' 1""",170 lbs.,"73""",Orthodox,"Feb 20, 1991"
Andreas Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,"May 20, 1988"
Andreas Spang,Sweet Swede,"6' 1""",185 lbs.,--,,"Nov 07, 1978"
Andreas Michailidis,The Spartan,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 18, 1988"
Andrea Lee,KGB,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989"
Andrei Kopylov,,"6' 2""",265 lbs.,--,Orthodox,"Jul 16, 1965"
Andrei Semenov,,"6' 0""",185 lbs.,--,Orthodox,"Jun 17, 1977"
Andrei Arlovski,The Pitbull,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979"
Andrews Nakahara,,"6' 1""",185 lbs.,--,Orthodox,"Mar 12, 1983"
Andrew Sanchez,El Dirte,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988"
Andrew Craig,Highlight,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986"
Andrew Holbrook,,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986"
Andrew Martinez,Mickey D,"5' 9""",215 lbs.,--,,--
Andrew Montanez,,--,185 lbs.,--,,--
Andrew Ramm,The,"6' 1""",160 lbs.,--,,--
Andrew Todhunter,The Sniper,"6' 0""",185 lbs.,--,Switch,"Nov 30, 1987"
Andrew Valladerez,,--,135 lbs.,--,,--
Andrey Pulyaev,,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 10, 1997"
Andrey Koreshkov,Spartan,"6' 0""",170 lbs.,--,,"Aug 23, 1990"
Andre Santos,Chatuba,"6' 0""",170 lbs.,--,,--
Andre Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,--
Andre Fialho,,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 07, 1994"
Andre Galvao,,"5' 7""",168 lbs.,--,Orthodox,"Sep 29, 1982"
Andre Gusmao,,"6' 0""",205 lbs.,--,Orthodox,"May 19, 1977"
Andre Lima,Mascote,"5' 7""",125 lbs.,"67""",Orthodox,"Feb 04, 1999"
Andre Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75""",Southpaw,"Jan 21, 1988"
Andre Mussi,,"6' 3""",242 lbs.,--,Orthodox,--
Andre Pederneiras,,"5' 8""",155 lbs.,--,Orthodox,"Mar 22, 1967"
Andre Petroski,,"6' 0""",185 lbs.,"73""",Switch,"Jun 12, 1991"
Andre Muniz,Sergipano,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990"
Andre Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988"
Andre Roberts,The Chief,"6' 2""",345 lbs.,--,Orthodox,"Feb 24, 1965"
Andre Fili,Touchy,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990"
Andre Walker,,"5' 11""",205 lbs.,--,Southpaw,--
Andre Winner,,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981"
Andy Ologun,,"6' 0""",154 lbs.,--,Orthodox,"Jun 12, 1983"
Andy Enz,Tank Mode,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991"
Andy Anderson,The Hammer,"5' 6""",240 lbs.,--,,"Jul 16, 1974"
Andy Ogle,The Little Axe,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989"
Andy Murad,The Tooth Fairy,"5' 9""",185 lbs.,--,,--
Andy Uhrich,,"6' 0""",170 lbs.,--,,--
Andy Wang,,"5' 6""",155 lbs.,--,Orthodox,"May 28, 1977"
Andy Waters,,"6' 0""",170 lbs.,--,,--
Angad Bisht,,"5' 7""",125 lbs.,"67""",Orthodox,"Jun 05, 1995"
Angela Hill,Overkill,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985"
Angela Magana,Your Majesty,"5' 1""",115 lbs.,"65""",Orthodox,"Aug 02, 1983"
Angelo Antonio,,--,205 lbs.,--,Orthodox,--
Angelo Trevino,Baby Monsta,"5' 11""",170 lbs.,--,Switch,"Jun 10, 1993"
Angel Pacheco,,"5' 8""",135 lbs.,"70""",Orthodox,"Jan 13, 1992"
Angel De Anda,The Dream,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985"
Ange Loosa,The Last Ninja,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 18, 1993"
Anistavio Medeiros,Gasparzinho,"5' 6""",145 lbs.,--,Orthodox,"May 01, 1988"
Anna Elmose,Panda,"5' 3""",115 lbs.,--,Orthodox,"Oct 06, 1984"
Ansar Chalangov,,"5' 9""",170 lbs.,--,Orthodox,"Oct 30, 1979"
Anshul Jubli,King of Lions,"6' 0""",155 lbs.,"69""",Switch,"Jan 13, 1995"
Ante Delija,Walking Trouble,"6' 4""",245 lbs.,--,Orthodox,"Aug 07, 1990"
Anthony Alves,,--,--,--,,--
Anthony Ivy,Aquaman,"6' 2""",185 lbs.,"74""",Orthodox,"Jan 23, 1990"
Anthony Avila,,"5' 7""",145 lbs.,--,,"Dec 29, 1988"
Anthony Morrison,Cheesesteak,"5' 7""",145 lbs.,--,Orthodox,"Mar 29, 1984"
Anthony Christodoulou,,"5' 9""",155 lbs.,--,Orthodox,"Jul 30, 1987"
Anthony Do,,"5' 4""",125 lbs.,--,,--
Anthony Drilich,,--,125 lbs.,--,,"Mar 17, 1994"
Anthony Birchak,El Toro,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986"
Anthony Ruiz,El Toro,"6' 2""",205 lbs.,--,Orthodox,"Nov 03, 1977"
Anthony Figueroa,,"5' 4""",135 lbs.,--,Orthodox,--
Anthony Hernandez,Fluffy,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993"
Anthony Hamilton,Freight Train,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980"
Anthony Leone,,"5' 6""",135 lbs.,--,Orthodox,"May 27, 1987"
Anthony Smith,Lionheart,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988"
Anthony Macias,Mad Dog,"5' 9""",185 lbs.,--,Switch,--
Anthony Taylor,Pretty Boy,"5' 7""",145 lbs.,--,,--
Anthony Rocco Martin,,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989"
Anthony Johnson,Rumble,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984"
Anthony Pettis,Showtime,"5' 10""",155 lbs.,"72""",Orthodox,"Jan 27, 1987"
Anthony Adams,Sugafoot,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988"
Anthony Njokuani,The Assassin,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980"
Anthony Torres,The Crush,"5' 8""",170 lbs.,--,Orthodox,"Jul 31, 1978"
Anthony Romero,The Genius,"5' 11""",155 lbs.,"70""",Orthodox,"Feb 25, 1997"
Anthony Perosh,The Hippo,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972"
Anthony Lapsley,The Recipe,"5' 9""",170 lbs.,--,Southpaw,"Feb 13, 1980"
Antonina Shevchenko,La Pantera,"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984"
Antonio Arroyo,,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989"
Antonio Banuelos,,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979"
Antonio Silva,Bigfoot,"6' 4""",264 lbs.,"82""",Orthodox,"Sep 14, 1979"
Antonio Braga Neto,,"6' 3""",185 lbs.,"77""",Orthodox,"Oct 29, 1987"
Antonio Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990"
Antonio Jones,Doomsday,"5' 11""",185 lbs.,--,Orthodox,"Apr 12, 1985"
Antonio Dos Santos,Junior Alpha,"5' 10""",185 lbs.,--,Orthodox,"Jul 21, 1988"
Antonio Trocoli,Malvado,"6' 5""",185 lbs.,"80""",Orthodox,"Dec 06, 1990"
Antonio McKee,Mandingo,"5' 8""",155 lbs.,--,Southpaw,"Mar 12, 1970"
Antonio Schembri,Nino,"5' 9""",205 lbs.,--,Orthodox,"Jun 01, 1974"
Antonio Carvalho,Pato,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1979"
Antonio Rodrigo Nogueira,Minotauro,"6' 3""",240 lbs.,"77""",Orthodox,"Jun 02, 1976"
